"vendor","part_number","surface_index","radius_mm","thickness_mm","glass_name","glass_catalog","conic","aspheric_coeffs_json","clear_aperture_mm","surface_type","is_stop"
"EdmundOptics","17-328","3",,"0",,,,,"0.00010992647072249895","STANDARD","0"
"EdmundOptics","17-329","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-329","1","23.805000000000003","7.2","C79-80","CORNING_FS","0","[{""order"":2,""value"":8.650042E-07},{""order"":3,""value"":2.870604E-10}]","11.25","EVENASPH","1"
"EdmundOptics","17-329","2",,"46.8254212311696",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-329","3",,"0",,,,,"0.00010992647072249895","STANDARD","0"
"EdmundOptics","17-330","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-330","1","35.707","6","C79-80","CORNING_FS","0","[{""order"":2,""value"":2.554916E-07},{""order"":3,""value"":3.48306E-11}]","11.25","EVENASPH","1"
"EdmundOptics","17-330","2",,"73.52755907686073",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-330","3",,"0",,,,,"4.669975517401781E-07","STANDARD","0"
"EdmundOptics","17-331","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-331","1","35.707","6","C79-80","CORNING_FS","0","[{""order"":2,""value"":2.554916E-07},{""order"":3,""value"":3.48306E-11}]","11.25","EVENASPH","1"
"EdmundOptics","17-331","2",,"73.52755907686073",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-331","3",,"0",,,,,"4.669975517401781E-07","STANDARD","0"
"EdmundOptics","17-332","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-332","1","47.609","5.5","C79-80","CORNING_FS","0","[{""order"":2,""value"":1.077002E-07},{""order"":3,""value"":8.025887E-12}]","11.25","EVENASPH","1"
"EdmundOptics","17-332","2",,"99.74921751894642",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-332","3",,"0",,,,,"4.67907663548317E-06","STANDARD","0"
"EdmundOptics","17-333","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-333","1","47.609","5.5","C79-80","CORNING_FS","0","[{""order"":2,""value"":1.077002E-07},{""order"":3,""value"":8.025887E-12}]","11.25","EVENASPH","1"
"EdmundOptics","17-333","2",,"99.74921751894642",,,,,"11.25","STANDARD","0"
